After the following mapping is looked, the chain of mapping goes through the following files:

1. /usr/share/X11/xkb/keycodes/evdev
2. /usr/share/X11/xkb/symbols/us

It is most probable that the following mapping must be somewhere in sources of hid-driver.
HID Keyboard and Keypad Page (0x07)
HIDcode	evdevcode+8
0x0004	38
0x0005	56
0x0006	54
0x0007	40
0x0008	26
0x0009	41
0x000a	42
0x000b	43
0x000c	31
0x000d	44
0x000e	45
0x000f	46
0x0010	58
0x0011	57
0x0012	32
0x0013	33
0x0014	24
0x0015	27
0x0016	39
0x0017	28
0x0018	30
0x0019	55
0x001a	25
0x001b	53
0x001c	29
0x001d	52
0x001e	10
0x001f	11
0x0020	12
0x0021	13
0x0022	14
0x0023	15
0x0024	16
0x0025	17
0x0026	18
0x0027	19
0x0028	36
0x0029	9
0x002a	22
0x002b	23
0x002c	65
0x002d	20
0x002e	21
0x002f	34
0x0030	35
0x0031	51
0x0032	51
0x0033	47
0x0034	48
0x0035	49
0x0036	59
0x0037	60
0x0038	61
0x0039	66
0x003a	67
0x003b	68
0x003c	69
0x003d	70
0x003e	71
0x003f	72
0x0040	73
0x0041	74
0x0042	75
0x0043	76
0x0044	95
0x0045	96
0x0046	107
0x0047	78
0x0048	127
0x0049	118
0x004a	110
0x004b	112
0x004c	119
0x004d	115
0x004e	117
0x004f	114
0x0050	113
0x0051	116
0x0052	111
0x0053	77
0x0054	106
0x0055	63
0x0056	82
0x0057	86
0x0058	104
0x0059	87
0x005a	88
0x005b	89
0x005c	83
0x005d	84
0x005e	85
0x005f	79
0x0060	80
0x0061	81
0x0062	90
0x0063	91
0x0064	94
0x0065	135
0x0066	124
0x0067	125
0x0068	191
0x0069	192
0x006a	193
0x006b	194
0x006c	195
0x006d	196
0x006e	197
0x006f	198
0x0070	199
0x0071	200
0x0072	201
0x0073	202
0x0074	142
0x0075	146
0x0076	138
0x0077	140
0x0078	136
0x0079	137
0x007a	139
0x007b	145
0x007c	141
0x007d	143
0x007e	144
0x007f	121
0x0080	123
0x0081	122
0x0085	129
0x0087	97
0x0088	101
0x0089	132
0x008a	100
0x008b	102
0x008c	103
0x0090	130
0x0091	131
0x0092	98
0x0093	99
0x0094	93
0x00b6	187
0x00b7	188
0x00e0	37
0x00e1	50
0x00e2	64
0x00e3	133
0x00e4	105
0x00e5	62
0x00e6	108
0x00e7	134
0x00e8	172
0x00e9	174
0x00ea	173
0x00eb	171
0x00ec	169
0x00ed	123
0x00ee	122
0x00ef	121
0x00f0	158
0x00f1	166
0x00f2	167
0x00f3	136
0x00f4	144
0x00f5	185
0x00f6	186
0x00f7	184
0x00f8	150
0x00f9	160
0x00fa	181
0x00fb	148
